date,time,temperature_2m ,precipitation (mm),cloudcover (%),windspeed_10m (km/h)
10/19/2020,0:00,14.1,0,10,9.1
10/19/2020,1:00,13.6,0,2,10.1
10/19/2020,2:00,13.4,0,1,7.3
10/19/2020,3:00,12.7,0,8,6.9
10/19/2020,4:00,12.6,0,5,6.3
10/19/2020,5:00,12.4,0,27,6.9
10/19/2020,6:00,12.7,0,30,8.4
10/19/2020,7:00,12.3,0,32,6.8
10/19/2020,8:00,12.2,0,34,7.2
10/19/2020,9:00,12,0,37,6.4
10/19/2020,10:00,11.5,0,74,2.2
10/19/2020,11:00,11.4,0,74,4.7
10/19/2020,12:00,11.5,0,77,5.8
10/19/2020,13:00,12.6,0,32,4.3
10/19/2020,14:00,14.1,0,29,5.4
10/19/2020,15:00,16.1,0,46,8.9
10/19/2020,16:00,16.7,0,51,10.2
10/19/2020,17:00,17.2,0,100,8.6
10/19/2020,18:00,17.3,0,100,8.3
10/19/2020,19:00,17.5,0,100,9.7
10/19/2020,20:00,17.4,0,93,10.2
10/19/2020,21:00,17.5,0,66,8.9
10/19/2020,22:00,16.1,0,65,7.1
10/19/2020,23:00,15.4,0,72,8.4
10/20/2020,0:00,15.2,0,74,10.2
10/20/2020,1:00,15,0,46,9.9
10/20/2020,2:00,14.9,0,35,11
10/20/2020,3:00,14.8,0,40,8.7
10/20/2020,4:00,14.5,0,34,7.1
10/20/2020,5:00,14.8,0,46,8.4
10/20/2020,6:00,14.7,0,30,9.1
10/20/2020,7:00,14.8,0,43,7.1
10/20/2020,8:00,15.1,0,73,6.6
10/20/2020,9:00,15.2,0,95,5.2
10/20/2020,10:00,15.4,0,100,2.7
10/20/2020,11:00,15.5,0,100,5.2
10/20/2020,12:00,15.5,0,100,5.2
10/20/2020,13:00,15.4,0,92,4.3
10/20/2020,14:00,16.2,0,89,4.7
10/20/2020,15:00,17.6,0,92,5.8
10/20/2020,16:00,18.2,0,100,5.3
10/20/2020,17:00,18.8,0,100,5.6
10/20/2020,18:00,19.2,0,100,6.5
10/20/2020,19:00,19.2,0,90,6.6
10/20/2020,20:00,19.7,0,57,4.3
10/20/2020,21:00,20.9,0,5,5.8
10/20/2020,22:00,18.1,0,1,5.9
10/20/2020,23:00,17.3,0,0,5.7
10/21/2020,0:00,17.3,0,2,6.4
10/21/2020,1:00,16.9,0,45,6
10/21/2020,2:00,16.6,0,75,6
10/21/2020,3:00,16.1,0,100,3.5
10/21/2020,4:00,16.1,0,100,3.4
10/21/2020,5:00,16.2,0,100,2.3
10/21/2020,6:00,16,0,100,3.9
10/21/2020,7:00,15.6,0,100,4.3
10/21/2020,8:00,15.4,0,100,3.8
10/21/2020,9:00,15.5,0,100,3.8
10/21/2020,10:00,15.9,0,100,2.2
10/21/2020,11:00,15.8,0,99,3
10/21/2020,12:00,15.9,0,92,4.5
10/21/2020,13:00,15.9,0,94,4.6
10/21/2020,14:00,16.5,0,92,5.6
10/21/2020,15:00,17.7,0,92,6.9
10/21/2020,16:00,18.5,0,91,8.6
10/21/2020,17:00,19.6,0,91,8.9
10/21/2020,18:00,20.2,0,89,10.7
10/21/2020,19:00,20.3,0,88,12.6
10/21/2020,20:00,20.5,0,77,11.2
10/21/2020,21:00,19.9,0,59,7.2
10/21/2020,22:00,18.9,0,58,6.4
10/21/2020,23:00,18.6,0,52,8.2
10/22/2020,0:00,18.2,0,65,7.5
10/22/2020,1:00,17.9,0,62,6.9
10/22/2020,2:00,17.7,0,67,5.8
10/22/2020,3:00,17.2,0,87,5.2
10/22/2020,4:00,17,0,92,4.8
10/22/2020,5:00,16.9,0,95,5.7
10/22/2020,6:00,16.8,0,100,6
10/22/2020,7:00,16.5,0,100,4.7
10/22/2020,8:00,16.6,0,95,4.7
10/22/2020,9:00,16.1,0,98,5.4
10/22/2020,10:00,17.2,0,100,3.2
10/22/2020,11:00,16.9,0,99,3.1
10/22/2020,12:00,17.1,0,95,4.2
10/22/2020,13:00,16.8,0,95,4.7
10/22/2020,14:00,17.6,0,100,6.6
10/22/2020,15:00,18.8,0,100,6.6
10/22/2020,16:00,18.8,0,100,5.8
10/22/2020,17:00,19,0.1,100,4.8
10/22/2020,18:00,19.1,0,100,4.2
10/22/2020,19:00,19.7,0,100,3.5
10/22/2020,20:00,20,0,100,3.1
10/22/2020,21:00,19.9,0,100,4
10/22/2020,22:00,19,0,100,4.5
10/22/2020,23:00,18.2,0,100,3.8
10/23/2020,0:00,18,0,100,4.1
10/23/2020,1:00,17.7,0,97,4.3
10/23/2020,2:00,17.4,0,100,4.6
10/23/2020,3:00,17,0,100,5.1
10/23/2020,4:00,17.1,0,100,5.2
10/23/2020,5:00,17.1,0,100,5.5
10/23/2020,6:00,17,0,99,5.2
10/23/2020,7:00,16.9,0,91,4.2
10/23/2020,8:00,16.9,0,90,3
10/23/2020,9:00,16.5,0,90,3.2
10/23/2020,10:00,17,0,90,1.5
