time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m 
2021-01-01T00:00,4.3,0,0,89,0,98,100,9.9,327
2021-01-01T01:00,3.9,0,0,79,0,83,97,9,331
2021-01-01T02:00,3.3,0,0,31,0,9,85,8.9,328
2021-01-01T03:00,1.4,0,0,26,0,0,86,7.8,326
2021-01-01T04:00,0.8,0,0,14,0,0,47,9.2,334
2021-01-01T05:00,0.3,0,0,19,0,0,63,8.6,338
2021-01-01T06:00,-0.4,0,0,20,0,0,68,8,342
2021-01-01T07:00,-0.6,0,0,26,0,0,85,7.1,345
2021-01-01T08:00,-0.9,0,0,24,0,0,79,7,348
2021-01-01T09:00,-0.8,0,0,14,0,0,47,6.9,354
2021-01-01T10:00,-3.9,0,0,0,0,0,1,7.6,3
2021-01-01T11:00,-4.2,0,0,29,0,0,97,7.3,9
2021-01-01T12:00,-4.3,0,0,30,0,0,100,6,17
2021-01-01T13:00,-2.8,0,0,30,0,0,100,7.1,30
2021-01-01T14:00,-0.6,0,0,30,0,0,100,6.1,40
2021-01-01T15:00,1.2,0,0,30,0,0,100,7.1,66
2021-01-01T16:00,1.7,0,0,33,3,0,100,5.4,110
2021-01-01T17:00,2.2,0,0,47,4,22,100,8.9,104
2021-01-01T18:00,2.6,0,0,100,18,90,100,7.5,107
2021-01-01T19:00,2.8,0,0,100,35,98,100,6.9,99
2021-01-01T20:00,3,0,0,100,33,100,100,7,111
2021-01-01T21:00,3.2,0,0,93,6,96,100,7.3,79
2021-01-01T22:00,2.8,0.3,0.3,100,13,100,100,7.4,43
2021-01-01T23:00,2.5,0.7,0.7,98,9,100,99,8.7,66
2021-01-02T00:00,2.5,1,1,100,64,100,100,12.1,78
2021-01-02T01:00,2.6,1.7,1.7,100,100,100,100,11.8,67
2021-01-02T02:00,2.7,1.8,1.8,100,100,100,100,8.7,38
2021-01-02T03:00,3.4,1.2,1.2,100,100,100,100,12,69
2021-01-02T04:00,3.5,1.4,1.4,100,100,100,99,10.8,75
2021-01-02T05:00,3.5,1.4,1.4,100,100,92,14,10.6,55
